Index,Date,Time,Longitude,Latitude,Magnitude,Depth,Location
1,2021-01-01,6:07:09,101.27,26.24,3,16,"Dayao,Yunnan"
2,2021-01-02,4:24:34,94.62,36.86,3.5,9,"Geermu,Qinghai"
3,2021-01-02,21:26:48,122.24,24.07,4.4,24,"ThecoastalareanearHualian,Taiwan,China"
4,2021-01-03,2:40:25,99.92,25.63,3.2,11,"Yangbi,Yunnan"
5,2021-01-03,8:34:38,117.7,24.69,3,28,"Changtai,Fujian"
6,2021-01-03,16:16:30,91.48,43.86,3.6,10,"Mulei,Xinjiang"
7,2021-01-04,0:34:12,104.52,29.43,3.2,10,"Rongxian,Sichuan"
8,2021-01-04,10:58:29,104.02,29.41,4.2,13,"Qianwei,Sichuan"
9,2021-01-04,21:49:35,119.51,31.08,3.3,6,"Guangde,Anhui"
10,2021-01-05,8:45:32,82.49,35.78,3.1,10,"Yutian,Xinjiang"
11,2021-01-05,11:49:27,81.13,42.31,3.1,10,"Zhaosu,Xinjiang"
12,2021-01-05,18:48:25,75.76,39.18,3.2,10,"Shufu,Xinjiang"
13,2021-01-06,16:46:07,120.41,38,3.8,7,"ThecoastalareanearPenglai,Shandong"
14,2021-01-06,22:08:46,78.78,41.21,3.4,10,"Wushi,Xinjiang"
15,2021-01-08,11:39:04,85.76,42.03,3.9,14,"Kuerle,Xinjiang"
16,2021-01-08,11:48:56,81.02,42.11,4.2,10,"Baicheng,Xinjiang"
17,2021-01-08,11:54:42,81.02,42.12,3.1,10,"Baicheng,Xinjiang"
18,2021-01-09,14:44:44,74.86,39.72,3.1,10,"Wuqia,Xinjiang"
19,2021-01-09,19:35:50,122.21,24.7,5.1,80,"CoastalareanearYilan,Taiwan"
20,2021-01-10,3:10:47,93.75,39.4,3.1,10,"Akesai,Gansu"
21,2021-01-10,11:23:29,121.49,23.77,4.3,11,"Hualian,Taiwan,China"
22,2021-01-11,2:54:37,123.13,42.61,3.4,15,"Kangping,Liaoning"
23,2021-01-14,17:22:00,104.05,36.06,3.6,16,"Yuzhong,Gansu"
24,2021-01-15,20:32:41,97.35,38.43,3.8,9,"Delingha,Qinghai"
25,2021-01-17,7:10:57,121.44,22.44,5.1,20,"CoastalareanearTaidong,Taiwan.China"
26,2021-01-17,7:23:31,105.66,32.77,3.2,14,"Ningqiang,Shaanxi"
27,2021-01-17,12:44:44,99.36,24.33,4.1,8,"Changning,Yunnan"
28,2021-01-18,3:51:21,82.33,35.81,3.4,10,"Yutian,Xinjiang"
29,2021-01-18,3:52:21,82.36,35.83,3.3,10,"Yutian,Xinjiang"
30,2021-01-19,2:21:29,123.97,35.79,4.6,12,TheYellowSea
31,2021-01-20,21:42:30,83.17,44.51,3,17,"Jinghe,Xinjiang"
32,2021-01-21,6:43:45,85.65,47.05,3.1,19,"Hebukesaier,Xinjiang"
33,2021-01-21,21:42:41,76.94,36.68,4.6,100,"Yecheng,Xinjiang"
34,2021-01-22,3:34:25,105.03,28.09,3.5,8,"Xingwen,Sichuan"
35,2021-01-23,9:59:10,104.22,28.18,4.7,10,"Yanjin,Yunnan"
36,2021-01-23,10:59:00,110.24,40.44,3.8,10,"Dalate,Neimenggu"
37,2021-01-23,22:28:45,110.91,18.38,3.1,10,TheSouthChinaSea
38,2021-01-24,3:38:51,125.29,48.72,3,10,"Nehe,Heilongjiang"
39,2021-01-24,9:53:08,111.49,40.65,3.2,13,"Tumotezuoqi,Neimenggu"
40,2021-01-25,19:39:22,122.27,24.83,4,95,"CoastalareanearYilan,Taiwan"
41,2021-01-27,21:51:30,94.74,39.38,3.6,10,"Akesai,Gansu"
42,2021-01-28,13:15:59,82.77,40.48,3.2,20,"Shaya,Xinjiang"
43,2021-01-28,15:29:32,121.12,22.49,4.5,10,"CoastalareanearTaidong,Taiwan"
44,2021-01-31,22:40:20,81.68,43.68,3.3,16,"Yiningxian,Xinjiang"
45,2021-02-01,20:38:37,84.49,43.65,3.2,10,"Nileke,Xinjiang"
46,2021-02-02,10:31:15,87.5,28.55,4.7,10,"Dingri,Tibet"
47,2021-02-02,11:23:31,83.61,41.21,3,10,"Kuche,Xinjiang"
48,2021-02-03,1:34:12,76.51,36.15,3.9,10,"Tashikuergan,Xinjiang"
49,2021-02-04,12:12:50,83.41,41.11,3.4,14,"Shaya,Xinjiang"
50,2021-02-04,13:06:24,87.52,28.64,4.3,28,"Dingri,Tibet"
